id,title,release_date,last_rated
10057,The Three Musketeers,1993-11-11,
100592,The Hand,1965-10-26,
100594,The Book of Fate,2003-03-06,
10060,Get Rich or Die Tryin',2005-11-09,
100605,December 7th,1943-01-01,
10061,Escape from L.A.,1996-08-09,
10063,The Breed,2006-05-17,
100632,Always Leave Them Laughing,1949-11-26,
100634,Counting Backwards,2007-01-01,
10064,Edison,2005-07-29,
10065,The Amityville Horror,2005-04-15,
100656,Four Sided Triangle,1953-06-15,
10066,House of Wax,2005-04-30,
100661,Terror Is a Man,1959-11-01,
100669,Shark Swarm,2008-01-01,
10067,The Shaggy Dog,2006-03-09,
100671,The Witchmaker,1969-05-01,
10068,Nine 1/2 Weeks,1986-02-14,
100681,Shanghai,2012-06-08,
100683,Dragon Eyes,2012-05-10,
10069,Stay Alive,2006-03-24,
10070,Feast,2005-10-14,
10071,The Brothers Solomon,2007-09-07,
10072,A Nightmare on Elm Street 3: Dream Warriors,1987-02-27,
10073,Date Movie,2006-02-17,
10074,Hot Rod,2007-08-03,
100747,Hitler's Madman,1943-06-10,
10075,Blood and Chocolate,2007-01-26,
10077,A Sound of Thunder,2005-05-15,
100770,The Black Torment,1964-10-19,
100776,Company: Original Cast Album,1970-01-01,
10078,Magicians,2007-05-18,
100783,Yedyanchi Jatra,,
100784,"Khrustalyov, My Car!",1998-05-20,
100791,That still Karloson!,2012-03-15,
100794,"Walking, Walking",1983-05-12,
10081,The Principal,1987-09-18,
100812,The Laughing Woman,1969-08-24,
100813,Koch Brothers Exposed,2012-03-07,
100814,Nazty Nuisance,1943-08-06,
100825,Chely Wright: Wish Me Away,2011-06-22,
100829,This is What Love in Action Looks Like,2011-01-28,
10083,No Way Out,1987-08-14,
100830,Radiostars,2012-04-11,
10085,Unrest,2006-10-22,
10086,Man Bites Dog,1992-05-01,
10087,Man to Man,2005-04-13,
100888,Closed Circuit,1978-01-01,
10089,Evil Bong,2006-10-31,
100894,The Mayor of Hell,1933-06-24,
100898,North Sea Texas,2011-03-16,
10090,Reno 911!: Miami,2007-02-23,
100910,Tender Comrade,1943-12-29,
100914,Crows and Sparrows,1949-01-01,
10092,Cry_Wolf,2005-09-16,
100923,Way of Blue Sky,2005-09-17,
10093,The Return,2006-11-10,
10094,Gone,2006-10-26,
10096,13 Going on 30,2004-04-13,
10097,The Tiger's Tail,2006-09-26,
100973,Deadline,2001-10-24,
100975,Just Looking,1999-10-21,
10098,The Kid,1921-01-21,
101,Leon: The Professional,1994-09-14,2016-06-27
101006,Liverpool,2008-10-30,
10102,La Grande Bouffe,1973-05-16,
101024,I Love Hong Kong 2012,2012-01-20,
101029,The Alley Tramp,1968-06-12,
10103,Windstruck,2004-06-03,
101030,The Golden Blade,1953-08-11,
10105,Saints and Soldiers,2003-09-11,
101056,The Millionaire Tour,2012-07-31,
10107,Firehouse Dog,2007-04-04,
10109,The White Dragon,2004-10-28,
10110,Empire of the Sun,1987-12-09,
10111,Confetti,2006-05-05,
10112,The Aristocats,1970-12-23,
101124,Beijing Taxi,2011-06-25,
101125,Class of '61,1993-04-12,
101135,A Connecticut Yankee in King Arthur's Court,1989-12-18,
10115,Stick It,2006-04-21,
10116,Shinobi: Heart Under Blade,2005-09-17,
10117,Action Jackson,1988-02-12,
101173,Coriolanus,2011-02-14,
101176,The Butterfly Room,2012-08-04,
101179,Truth or Dare,2012-08-05,
10118,Material Girls,2006-08-18,
101183,The Third Lover,1962-05-02,
101185,The Far Pavilions,1984-04-21,
10119,The Color of Milk,2004-08-27,
101190,Gangsters and Philantropists,1963-02-15,
10120,Blonde and Blonder,2008-01-18,
101206,Action in Arabia,1944-02-18,
101217,Hanzo,1975-04-01,
10122,Flight of the Navigator,1986-07-30,
101226,Dear Heart,1964-12-02,
101230,1-900,1994-09-01,
101231,Gente Di Rispetto,1975-10-30,
10124,Heartstopper,2006-01-01,
101242,Love Simple,2009-07-31,
10125,Fine Dead Girls,2002-06-24,
10126,Colors,1988-04-15,
101267,Katy Perry: Part of Me,2012-06-28,
10127,Critters 2,1988-04-29,
10128,Alien Nation,1988-10-07,
101281,Bachelor Flat,1962-01-12,
101288,Ten North Frederick,1958-05-22,
101289,"See Here, Private Hargrove",1944-03-18,
10129,Herbstmilch,1989-01-19,
101293,Skinheads,1989-08-08,
101297,"Tomorrow, the World!",1944-12-29,
101299,The Hunger Games: Catching Fire,2013-11-15,
10130,Gorillas in the Mist,1988-09-23,
101307,Rage,1972-11-22,
101308,Ride Beyond Vengeance,1966-05-09,
10131,A Nightmare on Elm Street 4: The Dream Master,1988-08-19,
10132,Talk Radio,1988-12-21,
101320,The Spiral Staircase,2000-04-02,
101325,The Forger,2011-03-09,
10133,Cypher,2002-10-01,
101330,Light Years Away,1981-05-20,
101338,Crane World,1999-06-17,
10134,Cyborg,1989-04-07,
101342,The Spousals of God,1999-10-15,
10135,Road House,1989-05-19,
101352,L'Antisémite,2012-03-21,
10136,The Golden Child,1986-12-12,
101362,A Cure for Love,1966-07-20,2016-06-14
101363,The Wonderful Ice Cream Suit,1998-01-23,
10137,Stuart Little,1999-12-17,
101376,The Queen and I,2008-11-20,
10138,Iron Man 2,2010-04-28,
101382,Utamaro and His Five Women,1946-12-17,
101383,With Byrd at the South Pole,1930-06-28,
10139,Milk,2008-11-26,
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,
10141,Dirty Rotten Scoundrels,1988-12-14,
10142,Casualties of War,1989-08-18,
101420,Burden of Evil,2012-04-22,
101422,The Reincarnation of Peter Proud,1975-04-25,
10144,The Little Mermaid,1989-11-17,
101444,The Hunters of the Golden Cobra,1982-08-11,
101449,Jim Gaffigan: Mr. Universe,2012-04-11,
10145,The Forgotten,2004-09-24,
10146,Men...,1985-12-19,
10147,Bad Santa,2003-11-26,
101482,Lonesome,1928-06-20,
10149,Smoke,1995-06-09,
10150,The Last Unicorn,1982-11-19,
101501,The Afflicted,2011-10-22,
101503,Ali Baba Bunny,1957-02-09,
10151,Snow White,2005-08-07,
101514,Quints,2000-08-18,
101519,A Fantastic Fear of Everything,2012-06-07,
10152,Dumb and Dumberer: When Harry Met Lloyd,2003-06-13,
101520,Reel Injun,2009-09-10,
10153,Sphere,1998-02-13,
101538,The Gnomes' Great Adventure,1987-01-01,
10154,Mickey Blue Eyes,1999-08-16,
10155,U Turn,1997-10-03,
101553,Yankee,1966-08-25,
101557,Westward the Women,1951-12-31,
10156,History of the World: Part I,1981-06-12,
101566,Marathon,2002-10-15,
10157,Police Academy 2: Their First Assignment,1985-03-28,
10158,White Men Can't Jump,1992-03-26,
10159,The Rundown,2003-09-26,
101598,God Is My Co-Pilot,1945-04-07,
10160,A Nightmare on Elm Street 5: The Dream Child,1989-08-11,
101609,Pax Americana and the Weaponization of Space,2009-11-12,
10161,My Left Foot: The Story of Christy Brown,1989-07-21,
10162,Waking Ned,1998-09-15,
10163,The Lawnmower Man,1992-03-05,
10164,Cadillac Man,1990-05-18,
10165,Fear and Desire,1953-04-01,
101652,Erotic Games in the Third Galaxy,1981-02-12,
101653,The Magnificent Yankee,1950-12-20,
10166,The Witches,1990-02-16,
101660,V,1983-05-01,
101665,Hayabusa,2011-10-01,
101669,Mother's Day,2010-09-23,
10167,Half Past Dead,2002-11-15,
10168,The Freshman,1990-07-20,
10169,Men at Work,1990-08-24,
10170,The Russia House,1990-12-19,
10171,Voyager,1991-03-21,
101715,Unguarded,2011-11-01,
10172,Are We Done Yet?,2007-04-04,
101724,Nailbiter,2013-05-28,
10173,Marked for Death,1990-10-05,
101731,The Magic of Belle Isle,2012-07-06,
101733,Zombie Ass: Toilet of the Dead,2011-09-24,
10174,Madonna: Truth or Dare,1991-05-10,
101740,Inn of Evil,1971-09-11,
101752,Tsumugi,2004-07-27,
10176,The Quiet Earth,1985-09-08,
101766,A Barefoot Dream,2010-06-24,
10177,Evil Aliens,2006-03-10,
101772,The Last Chance,1945-11-27,
10178,The Caine Mutiny,1954-06-24,
101783,Zameen,2003-09-26,
10179,The Ice Pirates,1984-03-16,
101791,Elfie Hopkins,2012-04-20,
1018,Mulholland Drive,2001-05-16,2016-08-03
10180,Flickering Lights,2000-11-03,
101801,Year of the Devil,2002-03-07,
101803,Sam Peckinpah: Man of Iron,1993-06-29,
101806,The Mad Doctor,1933-01-21,
101818,Game Over,2006-02-24,
10183,Frozen River,2008-08-01,
101838,Game Over,2005-08-26,
10184,He's Just Not That Into You,2009-02-06,
10185,The Midnight Meat Train,2008-08-07,
101852,Shuffle,2012-03-20,
101858,The Movies,1925-10-07,
10186,The Rocker,2008-08-20,
101860,Go Tigers!,2001-01-20,
10187,Swing Vote,2008-08-01,
10188,The Sisterhood of the Traveling Pants 2,2008-08-06,
101887,Spinning Boris,2003-10-23,
10189,Pineapple Express,2008-08-06,
101897,Boris and Natasha,1992-04-17,
10190,Towelhead,2008-09-12,
101904,Through the Forest,2005-10-12,2013-04-17
101908,Shanghai Dreams,2005-06-03,
10191,How to Train Your Dragon,2010-03-05,
101915,Tess of the D'Urbervilles,2008-09-14,
101916,"Live Once, Die Twice",2006-02-20,
101917,Bluebird,2004-04-10,
10192,Shrek Forever After,2010-05-16,
101929,Black River,1957-10-23,
10193,Toy Story 3,2010-06-16,
10195,Thor,2011-04-21,
101956,El camino,2008-02-29,
10196,The Last Airbender,2010-06-30,
101965,Undo,1994-10-07,
101968,An Insignificant Harvey,2011-10-07,
10197,Nine,2009-12-03,
10198,The Princess and the Frog,2009-12-08,
10199,The Tale of Despereaux,2008-12-19,
101995,Inside,2012-04-13,
101998,Foxfire,2012-09-24,
102,Open Hearts,2002-09-06,2003-08-28
10200,The Day the Earth Stood Still,2008-12-10,
102000,Sister,2012-02-13,
102001,Like Someone in Love,2012-09-15,
10201,Yes Man,2008-12-09,
102016,Swimming Upstream,2002-01-01,
10202,Bedtime Stories,2008-12-24,
102024,The Bridal Party in Hardanger,1926-12-26,
102032,Nuremberg: Its Lesson for Today,1948-11-21,
102038,Bombers B-52,1957-11-22,
102039,Mock Up on Mu,2008-01-14,
10204,Around the World in 80 Days,2004-06-16,
102041,Titanic: The Final Word with James Cameron,2012-04-08,
10205,Cut,2000-02-23,
102051,Unicorn City,2012-02-24,
102053,Them Idiots: Whirled Tour,2012-03-12,
102057,Divorce American Style,1967-06-21,
102059,Collision Course,1988-04-22,
10206,Buffy the Vampire Slayer,1992-07-24,
10207,Message in a Bottle,1999-02-22,
102078,The Deep Six,1958-01-15,
10208,Muppets from Space,1999-07-14,
102081,The Key,1958-05-28,
10209,Hideous Kinky,1998-11-17,
102091,Take the High Ground!,1953-10-30,
10210,A Midsummer Night's Dream,1999-04-25,
10212,Ravenous,1999-03-16,
10213,From Dusk Till Dawn 3: The Hangman's Daughter,1999-10-30,
10214,Son of the Mask,2005-02-18,
102144,Mister 880,1950-09-29,
10215,Sliding Doors,1998-04-23,
102155,Hitler,1962-03-21,
10216,Species II,1998-04-10,
102161,Operation: Rabbit,1952-01-19,
102165,The Mountain Road,1960-06-15,2014-04-06
10217,The Sweet Hereafter,1997-05-14,
10218,Swingers,1996-10-18,
10219,Snow Falling on Cedars,1999-12-22,
102195,Way Way Out,1966-10-26,
102197,The Spy,2012-04-05,
102198,The Dive from Clausen's Pier,2005-07-25,
10220,Rounders,1998-09-11,
102207,HOUBA! On the Trail of the Marsupilami,2012-04-03,
10222,Kickboxer,1989-04-20,
102222,The Philly Kid,2012-05-11,
102227,"Welcome Back, Mr. McDonald",1997-11-08,
10223,A Simple Plan,1998-12-11,
102234,Vares - The Path Of The Righteous Men,2012-01-06,
102242,Something to Sing About,2000-06-10,
10225,Friday the 13th Part VI: Jason Lives,1986-08-01,
102256,Marianne,2011-11-04,
10226,High Tension,2003-06-18,
10227,PlayTime,1967-12-16,
102272,The Sudden Wealth of the Poor People of Kombach,1971-04-14,
10228,Pokémon: The First Movie: Mewtwo Strikes Back,1998-07-18,
102286,Fate Is the Hunter,1964-11-08,
102288,Johnny Reno,1966-03-09,
102289,Montana Belle,1952-11-07,
10229,A Walk to Remember,2002-01-25,
102292,A Bottle in the Gaza Sea,2011-10-08,
102295,Underwater!,1955-02-09,
1023,Adam's Apples,2005-04-15,2009-04-14
102304,Whatever,1998-07-10,
102305,August Evening,2007-06-21,
10232,Shadow of Angels,1976-01-31,
102331,Vasermil,2007-10-25,
102337,Summer in the Golden Valley,2003-04-16,
10234,Funny Games,1997-05-14,
10235,Alexander Nevsky,1938-11-24,
10236,The Way We Were,1973-10-17,
102362,Dead Man Down,2013-03-08,
102363,Bedouin,2011-01-01,
102368,Iberia,2005-05-11,
10237,The Honeymoon Killers,1970-02-04,
10238,Cries and Whispers,1972-12-21,
102382,The Amazing Spider-Man 2,2014-04-16,
102384,Two Arabian Knights,1927-09-23,
10239,Autumn Tale,1998-09-07,
1024,Heavenly Creatures,1994-09-02,2003-03-08
102406,Ill Gotten Gains,1997-12-05,
10241,A Tale of Winter,1992-01-01,
102410,Fillmore,1972-06-14,
102419,Hotel Reserve,1944-06-01,
10242,What Ever Happened to Baby Jane?,1962-10-31,
102420,A Cadaver Christmas,2011-04-02,
102428,Salomé,2002-11-22,
10243,The Flight of the Phoenix,1965-12-15,
102431,A Child's Christmas in Wales,1987-12-23,
10244,Gods of the Plague,1970-07-24,
102444,Welcome to Blood City,1977-08-23,
10246,Porky's,1981-11-13,
102461,A Single Girl,1995-05-29,
10247,He Was a Quiet Man,2007-11-23,
10248,The Ring Thing,2004-01-01,
102488,The Desperados,1969-02-28,
102489,Alice and Martin,1998-10-23,
10249,The Rocketeer,1991-06-21,
10251,5ive Girls,2006-01-01,
102517,Sebastian Maniscalco: What's Wrong with People?,2012-01-05,
102524,The Machine That Kills Bad People,1952-05-14,
102526,White Cargo,1942-12-12,
102527,44500 Max,2009-09-01,
10253,Dragon Wars: D-War,2007-02-08,
102533,Stormy Weather,2003-09-07,
102534,The Good Son,2011-03-25,
10254,Born to Fight,2004-08-05,
102541,The Patent Leather Kid,1927-09-01,
10257,The Twins Effect II,2004-08-12,
10258,The Madagascar Penguins in a Christmas Caper,2005-09-23,
102596,Follow Me: The Yoni Netanyahu Story,2012-05-18,
102597,Big Leaguer,1953-08-19,
10260,My New Partner,1984-09-19,
10261,Switch,1991-05-10,
102622,Classic Albums: Iron Maiden - The Number of the Beast,2001-12-04,
102629,El Gringo,2012-05-10,
10263,Tamara,2005-05-12,
102630,Stash House,2012-05-11,
102632,Rowdy Rathore,2012-06-01,
102639,Virginia,2010-05-18,
10264,Hamlet,1990-12-19,
102640,Union Square,2011-07-07,
10265,Seoul Raiders,2005-02-05,
102651,Maleficent,2014-05-28,
102668,Budz House,2011-10-25,
10268,You Are So Beautiful,2005-11-07,
10269,Yentl,1983-11-18,
102691,Bells from the Deep,1993-01-01,
102699,The Visitors,1972-02-02,
10270,The Challenge,2005-01-01,
102707,Domingo de carnaval,1945-10-22,
10271,The Story Of My Life,2004-09-08,
10272,Jekyll + Hyde,2006-05-05,
102732,Little City,1997-04-04,
10274,The Deal,2005-06-17,
102743,Gabi on the Roof in July,2010-02-27,
10275,The Shaolin Temple,1982-01-21,
10276,What About Bob?,1991-05-17,
10278,Return to Paradise,1998-08-10,
102780,Byzantium,2012-09-09,
102784,Two Rabbits,2012-01-20,
10279,Summer of Sam,1999-07-02,
10280,Thinner,1996-10-25,
102807,Carcasses,2009-08-25,
102809,Disorder,2009-03-31,
10281,Friday the 13th Part VII: The New Blood,1988-05-13,
102812,FTA,1972-07-21,
102814,The Beach Boys: An American Band,1985-11-22,
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989-07-28,
102831,Chameleon Street,1989-05-01,
102841,Rabbit Test,1978-04-09,
10285,Jason Goes to Hell: The Final Friday,1993-08-13,
102851,A Cube of Sugar,2012-02-29,
102855,Don’t Stop Believin’: Everyman’s Journey,2013-03-16,
102858,The Fourth Dimension,2012-06-27,
102860,Found Memories,2011-09-02,
102862,Informant,2013-09-13,
102867,Only the Young,2012-05-01,
102870,Unfair World,2012-02-02,
102871,Summer Games,2011-09-01,
102873,¡Vivan las Antipodas!,2011-11-05,
102878,A Brother's Kiss,1997-04-25,
10288,Fido,2006-09-07,
102899,Ant-Man,2015-07-14,
102901,Sighs of Spain,1939-10-16,
102909,Joey,1997-12-26,
102913,The Chasers,1959-08-24,
10292,Urban Legends: Bloody Mary,2005-07-19,
10293,Pauline at the Beach,1983-02-23,
102931,Silent Witness,2011-01-01,
102933,Things Behind the Sun,2001-10-12,
102935,War Don Don,2010-05-18,
102938,Trackdown,1976-05-20,
10294,Vacancy,2007-04-20,
102947,First Daughter,1999-08-15,
102949,Alive or Preferably Dead,1969-09-17,
102959,Trinity and Sartana Are Coming,1972-05-30,
10296,The Football Factory,2004-05-13,
102961,Seven,1979-09-07,
10297,How to Marry a Millionaire,1953-10-29,
10299,"Hush... Hush, Sweet Charlotte",1964-12-15,
103,Taxi Driver,1976-02-07,2000-11-22
103012,Lucky,2011-09-11,
103014,'Twas the Night,2001-12-07,
10303,The Jewel of the Nile,1985-12-04,
10304,Starship Troopers 2: Hero of the Federation,2004-04-20,
103048,China Gate,1998-11-27,2015-07-17
10305,Merci pour le Chocolat,2000-08-01,
10306,Poltergeist III,1988-06-10,
103066,Any And Every Which Way,2010-02-27,
103067,The Designated Victim,1971-04-22,
10307,Stigmata,1999-09-10,
103073,Ardh Satya,1983-08-19,
10308,Why Does Herr R. Run Amok?,1970-06-27,
103081,Cambridge Spies,2003-05-09,
10309,The Merchant of Four Seasons,1971-11-04,
10310,The Bitter Tears of Petra von Kant,1972-10-05,
10311,Martha,1974-05-27,
103119,Two Flags West,1950-10-12,
10312,Patch Adams,1998-12-25,
103122,Desirable Teacher,1981-09-19,
10313,The Men Who Stare at Goats,2009-10-17,
10314,She's All That,1999-01-29,
10315,Fantastic Mr. Fox,2009-10-23,
10316,The Ides of March,2011-09-24,
103161,Fake It So Real,2012-01-12,
103162,Lenny Bruce: Swear to Tell the Truth,1998-10-21,
103164,Copper Canyon,1950-11-15,
103168,Apache Country,1952-05-30,
10317,Our Brand Is Crisis,2015-09-11,
103173,Dragon Age: Dawn of the Seeker,2012-02-11,
103181,Sondheim! The Birthday Concert,2010-11-26,
10319,Woyzeck,1979-05-25,
103194,Dinotasia,2012-05-04,
103195,The Substance: Albert Hofmann's LSD,2011-11-17,
103198,Unspeakable Acts,1990-01-15,
103199,Tizoc,1956-06-15,
10320,The Ring Two,2005-03-17,
103201,Extreme Justice,1993-01-01,
103203,Camp de Thiaroye,1988-01-01,
103205,I Thank a Fool,1962-09-14,
103210,Fighting Back,1982-05-21,2015-07-17
103212,Rakht,2004-09-22,
103215,Anton Corbijn Inside Out,2012-03-22,
103216,I picari,1987-01-01,
103218,A Simple Story,1991-09-12,
10322,Being There,1979-12-19,
10323,Clash of the Titans,1981-03-15,
103236,Zanjeer,1973-05-11,
10324,If Lucy Fell,1996-03-08,
103243,Vicky Donor,2012-04-20,
10326,Forever Young,1992-12-16,
103260,The Harlem Globetrotters on Gilligan's Island,1981-05-15,
103269,Superman vs. The Elite,2012-06-12,
10327,"Legally Blonde 2: Red, White & Blonde",2003-07-02,
10328,Cocoon,1985-06-21,
10329,Congo,1995-06-09,
103299,Traces of Red,1992-11-13,2016-06-22
10330,Freaky Friday,2003-08-03,
103301,Babnik,1990-02-01,
103307,My Seawoman,1990-06-01,
10331,Night of the Living Dead,1968-10-01,
103328,Holy Motors,2012-07-02,
10333,The Prince of Tides,1991-12-25,
103332,Ruby Sparks,2012-07-25,
103344,Dépression et des Potes,2012-04-30,
10336,Spawn,1997-07-31,
10337,Bugsy,1991-12-10,
103370,Madea's Witness Protection,2012-06-29,
10338,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965-06-03,
10339,Moby Dick,1956-06-27,
103396,The Devil Strikes at Night,1957-09-19,
10340,Lady and the Tramp,1955-06-16,
10341,Until the End of the World,1991-09-12,
103413,Second Best,1994-09-30,
10342,Teaching Mrs. Tingle,1999-08-11,
103425,The World According to Sesame Street,2006-05-21,
103432,Outrage,1973-11-28,
103433,Hillside Cannibals,2006-03-28,
10344,The Fly II,1989-02-10,
10345,K-9,1989-04-28,
103462,Grandma Lo-Fi,2011-11-08,
10347,Dobermann,1997-06-18,
103475,The Soul of a Man,2003-05-16,
10348,Thunderbolt,1995-09-08,
103488,Encounter in the Third Dimension,1999-03-31,
103489,All Access: Front Row. Backstage. Live!,2001-05-20,
10349,The Dark Half,1993-04-23,
10350,Wing Commander,1999-03-11,
103502,Night #1,2011-10-12,2013-10-01
10351,Wishmaster,1997-09-19,
103516,Private Romeo,2011-06-20,
103528,God is the Bigger Elvis,2012-04-01,
10353,The Visitors II: The Corridors of Time,1998-02-11,
103539,Kelin,2009-06-26,2015-09-06
10354,True Crime,1999-03-19,
10355,Shiri,1999-02-13,
10356,The Good Shepherd,2004-03-21,
10357,Volcano,1997-04-25,
103578,Prey,1977-10-05,
10358,Zack and Miri Make a Porno,2008-09-18,
103590,The Legend of Suram Fortress,1986-09-08,
103597,Americano,2011-11-30,
10360,Hunger,2008-05-15,
103601,Hollywood Vice Squad,1986-02-28,
10361,Ginger Snaps 2: Unleashed,2004-01-30,
103612,Matilda,1978-06-22,
103613,The Oldest Profession,1967-04-21,
10362,Two Lovers,2008-11-19,
103620,Maniac,2012-12-26,
10363,Purple Noon,1960-03-10,
103635,The Perfect Nanny,2000-03-15,
10364,Catch-22,1970-06-24,
103640,Ishaqzaade,2012-05-11,
103648,Inherit the Wind,1999-05-29,
10366,Universal Soldier: The Return,1999-08-05,
103663,The Hunt,2012-08-28,
103667,Murder by Proxy:  How America Went Postal,2010-01-01,
103668,"The Strange History of Don't Ask, Don't Tell",2011-09-13,
103675,Model by Day,1993-10-10,
103678,Kiss Kiss... Bang Bang,1966-05-16,
10368,Tea with Mussolini,1999-03-25,
103686,Paradise: Love,2012-04-27,
103688,Daydream Believers: The Monkees Story,2000-06-28,2016-08-05
103689,Post Tenebras Lux,2012-11-22,
10370,Premutos: Lord of the Living Dead,1997-01-01,
103701,The Uncertainty Principle,2002-05-17,
103706,Almost Angels,1962-09-26,
103707,Afghan Luke,2011-09-23,
10371,For Richer or Poorer,1997-12-11,
103711,Charley and the Angel,1973-03-23,
103713,Eminem AKA,2004-12-07,
103717,You Ain't Seen Nothin' Yet,2012-09-01,
10372,Ewoks: The Battle for Endor,1985-11-24,
10373,Quadrophenia,1979-09-14,
103731,Mud,2013-05-01,2015-08-15
103732,GLOW: The Story of the Gorgeous Ladies of Wrestling,2012-08-21,
103734,Herman's House,2012-10-12,
103740,Beyond the Hills,2012-09-12,
103742,In the Fog,2012-11-22,
103745,Vesku,2010-09-03,
103747,The Angels' Share,2012-06-01,
10375,D-Tox,2002-01-04,
103750,The Taste of Money,2012-05-17,
103751,Täällä Pohjantähden alla II,2010-09-24,
103753,In Another Country,2012-05-30,
103758,Reality,2012-05-04,
10376,The Legend of 1900,1998-10-28,
10377,My Cousin Vinny,1992-03-13,
10378,Big Buck Bunny,2008-04-10,
103785,Boats Out of Watermelon Rinds,2004-11-26,
10379,Drop Dead Fred,1991-04-19,
103793,Rosie,1998-11-18,
10380,An American Tail: Fievel Goes West,1991-11-21,
